"","School","W","L","RPI","SOS Rank","SOS","url.name","ngames","LRMC.score"
"241","Wisconsin-Milwaukee",28,23,"0.4110","172","0.4898","milwaukee",30,0.00205304617580076
"250","Radford",16,18,"0.4078","334","0.4197","radford",29,0.00205177512728788
"246","Coppin State",29,23,"0.4094","266","0.4596","coppin-state",31,0.00204969499925599
"197","Appalachian State",19,15,"0.4427","321","0.4358","appalachian-state",28,0.00203969118690355
"160","Southeastern Louisiana",17,17,"0.4644","195","0.4830","southeastern-louisiana",29,0.00203547506242308
"175","South Dakota",30,19,"0.4550","143","0.5021","south-dakota",26,0.00202214890037911
"205","Northern Kentucky",17,15,"0.4410","316","0.4384","northern-kentucky",27,0.00202081116921568
"242","Navy",29,22,"0.4109","228","0.4730","navy",30,0.00201927452585899
"171","Cal State Bakersfield",16,15,"0.4561","233","0.4712","cal-state-bakersfield",26,0.00201406301944648
"226","Chattanooga",17,18,"0.4255","288","0.4540","chattanooga",30,0.00199740823984257
"261","NC-Greensboro",29,21,"0.3909","304","0.4447","north-carolina-greensboro",29,0.00199606969194789
"216","Monmouth",16,20,"0.4345","236","0.4706","monmouth",31,0.00199017841967894
"244","Alcorn State",31,22,"0.4100","306","0.4439","alcorn-state",32,0.00197896234425018
"236","NC-Wilmington",31,19,"0.4155","260","0.4609","north-carolina-wilmington",29,0.00197871137352055
"135","Arkansas-Pine Bluff",22,13,"0.4778","325","0.4315","arkansas-pine-bluff",30,0.0019653313588954
"228","Dartmouth",30,18,"0.4223","250","0.4639","dartmouth",27,0.00196173922807882
"232","Maryland-Baltimore County",29,22,"0.4161","188","0.4855","maryland-baltimore-county",30,0.00195316110285911
"217","Sacramento State",18,14,"0.4336","329","0.4247","sacramento-state",27,0.00194634973557086
"247","Southern Utah",31,19,"0.4088","300","0.4487","southern-utah",29,0.00192768231029459
"252","Chicago State",29,20,"0.4054","293","0.4514","chicago-state",29,0.00192601342608957
"195","San Jose State",30,19,"0.4438","155","0.4965","san-jose-state",28,0.00192584747203185
"209","E. Tennessee State",31,21,"0.4386","199","0.4811","east-tennessee-state",31,0.0019246835654392
"254","Austin Peay",28,22,"0.4031","242","0.4683","austin-peay",29,0.00191609064012515
"251","Montana State",17,16,"0.4056","336","0.4178","montana-state",28,0.00190635202605953
"267","Northern Illinois",26,24,"0.3806","267","0.4595","northern-illinois",29,0.00188690680813406
"237","VMI",17,16,"0.4151","339","0.4124","vmi",28,0.00188616282978266
"222","Central Arkansas",17,16,"0.4291","312","0.4423","central-arkansas",28,0.00188394579521693
"256","Texas A&M-Corpus Christi",27,22,"0.4013","220","0.4752","texas-am-corpus-christi",28,0.00187807206640082
"181","McNeese State",17,16,"0.4500","253","0.4629","mcneese-state",28,0.00187415721050529
"170","Lipscomb",17,17,"0.4561","206","0.4796","lipscomb",29,0.00187193499174236
"231","Utah Valley",16,17,"0.4166","328","0.4277","utah-valley",28,0.00185648918045461
"271","California Riverside",26,23,"0.3720","287","0.4544","california-riverside",28,0.00185487669915341
"272","Idaho State",27,23,"0.3717","303","0.4449","idaho-state",29,0.00185313842740473
"235","New Jersey Tech",18,4,"0.4156","347","0.3891","njit",25,0.00185203437047611
"248","Prairie View A&M",18,18,"0.4086","341","0.4074","prairie-view",31,0.00184332642470643
"258","Rice",26,24,"0.3996","140","0.5031","rice",29,0.00181741506655484
"177","Tennessee Tech",16,16,"0.4538","198","0.4812","tennessee-tech",26,0.00181426822598046
"275","Kennesaw State",25,26,"0.3659","279","0.4565","kennesaw-state",30,0.00181349998404562
"268","Howard",28,22,"0.3777","322","0.4353","howard",29,0.00178957986168755
"273","Portland State",28,19,"0.3715","318","0.4365","portland-state",26,0.00178183819645587
"243","Jackson State",17,17,"0.4104","342","0.4043","jackson-state",29,0.00176349219826521
"260","IUPUI",26,25,"0.3912","207","0.4793","iupui",30,0.00174706251459994
"265","Florida A&M",28,22,"0.3821","314","0.4387","florida-am",29,0.00174040734261267
"262","Alabama State",31,21,"0.3904","332","0.4213","alabama-state",31,0.00174037343772697
"257","St. Francis (Pa.)",27,23,"0.4013","212","0.4783","saint-francis-pa",29,0.00173905298812643
"240","Texas-Pan American",18,15,"0.4119","346","0.3977","texas-pan-american",28,0.00173379735137523
"238","SIU-Edwardsville",29,17,"0.4145","240","0.4686","southern-illinois-edwardsville",25,0.00170898700055555
"219","Nebraska Omaha",16,18,"0.4317","281","0.4563","nebraska-omaha",29,0.00169104130259399
"233","Fairleigh Dickinson",29,23,"0.4161","231","0.4720","fairleigh-dickinson",31,0.00168167755679256
"274","Presbyterian",27,23,"0.3671","317","0.4372","presbyterian",29,0.00166714512419741
"266","Longwood",28,24,"0.3808","314","0.4387","longwood",31,0.00164954052908505
"249","Houston Baptist",17,16,"0.4083","343","0.4042","houston-baptist",28,0.0016429698061177
"239","Louisiana-Monroe",26,22,"0.4131","133","0.5074","louisiana-monroe",27,0.00163043923909063
"245","Tennessee-Martin",29,20,"0.4095","247","0.4668","tennessee-martin",28,0.00161638911269324
"269","Lamar",25,27,"0.3751","248","0.4647","lamar",31,0.0016083089953192
"277","Furman",27,23,"0.3621","327","0.4294","furman",29,0.00160279632918983
"263","Alabama A&M",31,19,"0.3885","340","0.4103","alabama-am",29,0.0015795050184406
"264","The Citadel",28,21,"0.3830","319","0.4360","citadel",28,0.00157581116921388
"270","Binghamton",24,26,"0.3726","227","0.4732","binghamton",29,0.00157033505305989
"276","South Carolina State",26,23,"0.3657","289","0.4537","south-carolina-state",28,0.0015421065900685
"278","Mississippi Valley State",27,22,"0.3565","335","0.4188","mississippi-valley-state",28,0.00150572661520739
"279","Maryland-Eastern Shore",24,25,"0.3546","282","0.4558","maryland-eastern-shore",28,0.00148734755662998
"280","New Orleans",26,17,"0.3454","338","0.4129","new-orleans",22,0.00112203701866916
"281","Grambling",15,27,"0.3022","344","0.4029","grambling",28,0.000923230091360219
"218","UMKC",29,23,"0.4333","157","0.4960","umkc",7,0.000348772046762761
